author/followers,author/followers,author/followers,author/followers,author/followers,author/followers,author/followers,author/followers,author/following,author/following,author/following,author/following,author/following,author/following,author/following,author/following,bookmarkCount,bookmarkCount,bookmarkCount,bookmarkCount,bookmarkCount,bookmarkCount,bookmarkCount,bookmarkCount,viewCount,viewCount,viewCount,viewCount,viewCount,viewCount,viewCount,viewCount,retweetCount,retweetCount,retweetCount,retweetCount,retweetCount,retweetCount,retweetCount,retweetCount,replyCount,replyCount,replyCount,replyCount,replyCount,replyCount,replyCount,replyCount,quoteCount,quoteCount,quoteCount,quoteCount,quoteCount,quoteCount,quoteCount,quoteCount,likeCount,likeCount,likeCount,likeCount,likeCount,likeCount,likeCount,likeCount
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
2248.0,1285.0378113879003,5640.399888758928,29.0,230.0,434.0,529.0,108721.0,2248.0,634.1668149466192,763.6882317893621,67.0,356.0,473.0,673.0,8921.0,2248.0,46.75889679715303,132.08469407718408,0.0,16.0,24.0,35.0,2874.0,2248.0,24394.768683274022,76353.11097634904,165.0,4200.0,12942.0,18231.25,1482931.0,2248.0,1177.293149466192,5116.623590033689,6.0,63.0,347.0,535.0,108221.0,2248.0,537.538256227758,2413.1742179709004,2.0,103.75,134.0,198.0,48293.0,2248.0,232.45373665480426,1234.5700842474803,0.0,23.0,73.0,83.0,18421.0,2248.0,4276.913256227758,14103.809177981697,13.0,273.0,1256.0,2048.5,198421.0
6175.0,3773.6545748987855,15401.885260857875,26.0,266.0,449.0,664.0,315902.0,6175.0,869.0785425101215,1320.883876884818,49.0,370.0,512.0,798.0,10921.0,6175.0,58.1531983805668,226.88242927635338,0.0,13.0,22.0,35.0,5821.0,6175.0,42840.69198380567,132561.89494531014,145.0,4480.5,13249.0,21391.0,2841293.0,6175.0,1777.8471255060729,7648.676708888836,1.0,69.0,331.0,701.0,137483.0,6175.0,787.7438056680162,3614.0639667552373,0.0,71.0,128.0,218.0,58392.0,6175.0,302.99708502024293,1553.4699227113974,0.0,23.0,66.0,85.0,18469.0,6175.0,6911.088744939271,20180.730826319967,11.0,351.0,1193.0,2976.5,248421.0
